id,job_id,title,sector,employer,country,closing_date,summary
4289,45546,Security Guard,Construction,WENSENG CONTRACTING CO LTD,Mauritius,31.10.2025,"It is responsible for protecting people, property and assets"
4290,45545,Cashier,Construction,WENSENG CONTRACTING CO LTD,Mauritius,15.10.2025,"Hanfling payment , process customer transactions accurately"
4291,45544,Maid,Education,KNOWLEDGEPLUS LTD,Mauritius,23.08.2025,House CleaningT: 52516419
4301,45534,Administrative Clerk,Manufacturing-Furniture,USTAD FURNITURE CO LTD,Mauritius,31.08.2025,"Adminstration work like filling , record data for invoice input and output, record company’s day to day running activities ect"
4315,45520,Team Leader,Engineering Services,CHANTIER NAVAL DE L'OCEAN INDIEN LTD,Mauritius,24.08.2025,"Industrie et Services de l’Océan Indien Ltd, société subsidiaire du Chantier Naval de l’Océan Indien Ltd, recherche un Superviseur d’Atelier expérimenté pour encadrer une équipe technique dans la réalisation de travaux de métaux (chaudronnerie, soudure, peinture, etc.)."
4318,45517,Sales Representative,Sports and Leisure,EMPERATOR DIVING CENTER,Mauritius,07.08.2025,Représenter notre centre de plongée dans un hotel 5* à Grand Baie.
4323,45511,Planning Coordinator,Construction,SERVENG LIMITED,Mauritius,31.08.2025,"-To support our daily activities and drive operational excellence-Draft,create and process various documents such as letters,reports,memos and emails-Manage purchase requisitions and purchase orders-Manage maintenance/servicing appointments for vehicles and machinery-Provide administrative support and project coordination to multiple teams within the organisation-Actively contribute to maintain and promote a strong safety culture aligned with company standards"
4329,45505,Marketing Officer/Assistant,BPO/ICT,APHELION LIMITED,Mauritius,31.12.2025,We are looking for a creative and motivated Marketing Officer to join our team and support our marketing and branding - ideal for fresh graduates or students in their final year.
4332,45502,Sales Representative,Renewable Energy and Circular Economy,AUSTRAL SOLAR LIMITED,Mauritius,23.08.2025,"Company PresentationFounded in 2016 with the goal of addressing ecological challenges and reducing our impact on the planet, we chose to invest sustainably by focusing on what matters most: high-end equipment and exceptional personalized service.Our mission is to guide our clients toward the future with innovative, sustainable, and profitable systems.Austral Energie is a trusted brand serving communities, socially responsible, and committed to improving everyday life. Our goal is to offer added value to our clients through exceptional products and unmatched service. By listening to our clients, we build projects and develop long-term relationships with them.We value our employees and are committed to supporting their personal development. At Austral, we are convinced that renewable energy represents the future of energy consumption, and we encourage communities to work toward sustainable development.In 2021, we were a small agency with only about ten employees in Réunion Island.Today, Austral Énergie is represented by around 300 professionals, not only in Réunion but also in Mauritius, mainland France, and Belgium."
4355,45479,Accounts clerk,Manufacturing-Other,M. SAVERS LTD,Mauritius,22.08.2025,"- Handle daily accounting tasks- Process Invoices- Process payment to suppliers-Enter financial data into ledgers and accounting systems.-Make deposits and withdrawals, and reconcile bank statements.-Prepare, check, and reconcile accounts regularly."
4358,45476,Accountant,Manufacturing-Other,M. SAVERS LTD,Mauritius,21.08.2025,"• Handle daily accounting tasks including accounts payable, receivable, payroll, and bank reconciliations• Prepare and maintain accurate monthly, quarterly, and yearly financialreports• Ensure compliance with tax laws and statutory reporting requirements• Track and analyze sales, expenses, and inventory data• Assist in budget preparation and financial forecasting• Support stocktaking and audit processes• Collaborate with management to provide financial insights for decision-making"
4360,45474,Fast Food Operator,Hotel,MOM'S - THE QUEEN OF FUSION FOOD,Mauritius,30.08.2025,"preparing, according to procedures laid down by the unit, food, snacks and other in-house specialities;attending to and serving customers,taking charge of bills or being responsible for cash takings,"
3838,45433,Trainee Engineer,Engineering Services,AXIS ENGINEERS LTD,Mauritius,31.08.2025,TRAINEE/JUNIOR MECHANICAL ENGINEER-Degree in Mechanical Engineering-Minimum 1-3 years experience-Well versed in AutoCAD-Valid driving license (Manual)Interested candidates are invited to send their CV directly to info@axisengineers.mu
3844,45427,Project Coordinator,Construction,WENSENG CONTRACTING CO LTD,Mauritius,30.09.2025,"Help follow up on aluminium fascade and curtain walls projects from start to finish . you will work closely with the managing director and technical director , as well as withour internal team, main contractors to ensure that all projects are completed on time and up to the expected standards"
3372,45422,"Driver, Private Car",Construction,S M S CONTRACTING LTD,Mauritius,31.07.2025,"A truck’s driver job summary involves the safe and timely transportation of goods and materials over various distances, often requires loading and unloading cargo, maintaining their vehicle and adhering to traffic laws and company policies"
