id,job_id,title,sector,employer,country,closing_date,summary
4767,45847,Cabinet Maker/Menuisier,Manufacturing-Furniture,SGF WOOD WORK CONTRACTING CO LTD,Mauritius,31.08.2025,CABINET MAKING AND JOINERY WORKS IN W ORK SHOP AND SITE INSTALLATION
4768,45846,Biomedical Engineer,Human Health & Social work activities,ARTEMIS HOSPITAL,Mauritius,31.08.2025,The Bio-Medical Engineer will be required to combine medical technology with traditional engineering methods and support health care professionals by overseeing the daily operations of medical tools and equipment. Ensure all the medical equipment is serviced and maintains it up to standard.
4769,45845,Maid,Private Household,MR HURGOBIN KARAN KUMAR,Mauritius,24.08.2025,"A maid is responsible for maintaining the cleanliness and tidiness of residential spaces. This includes tasks like cleaning and sanitizing rooms, making beds, doing laundry, and performing other household chores. Maids are expected to be detail-oriented, efficient, and physically capable of handling the demands of the job"
4770,45844,Plumber,Hotel,LAVILLEON CHAMAREL LTEE,Mauritius,25.08.2025,PLUMBER
4771,45843,Electrician,Hotel,LAVILLEON CHAMAREL LTEE,Mauritius,25.08.2025,ELECTRICIAN
4772,45842,Barbender/Steel Fixer,Hotel,LAVILLEON CHAMAREL LTEE,Mauritius,25.08.2025,BARBENDER
4773,45841,Carpenter,Hotel,LAVILLEON CHAMAREL LTEE,Mauritius,25.08.2025,CARPENTER WORKS
4774,45840,Mason,Hotel,LAVILLEON CHAMAREL LTEE,Mauritius,25.08.2025,MASON
4775,45839,"Carer, Private Household",Cleaning Services,NUNKOOMAR KALI,Mauritius,06.09.2025,"To provide quality care and support to the patient in their own home, helping them maintain their independence, dignity, and well- being. This includes assisting with personal care, household tasks, mobility, and companionship."
4776,45838,"Carer, Private Household",Private Household,MR ROODUR YOGESH,Mauritius,27.08.2025,"•Help with bathing, dressing, grooming, and toileting•Help individuals with mobility and transfer support, ensuring they move safely and comfortably around the home.•Assist with mobility, including helping the person move around or reposition themselves.•Perform light housekeeping tasks, such as cleaning, laundry, and maintaining a safe and tidy living environment.•Help with shopping for groceries or other essential items.•Report significant changes in health to family members or medical professionals as required.•Prepare nutritious meals according to the individual’s dietary preferences and restrictions.•Help with organizing personal items and maintaining a pleasant and comfortable home setting.•Encourage and assist with recreational activities, hobbies, or light exercise to maintain mental and physical health."
4777,45837,"Carer, Private Household",Private Household,MRS. HAGATHEE NEERMALA,Mauritius,27.08.2025,"•Help with bathing, dressing, grooming, and toileting•Help individuals with mobility and transfer support, ensuring they move safely and comfortably around the home.•Assist with mobility, including helping the person move around or reposition themselves.•Perform light housekeeping tasks, such as cleaning, laundry, and maintaining a safe and tidy living environment.•Help with shopping for groceries or other essential items.•Report significant changes in health to family members or medical professionals as required.•Prepare nutritious meals according to the individual’s dietary preferences and restrictions.•Help with organizing personal items and maintaining a pleasant and comfortable home setting.•Encourage and assist with recreational activities, hobbies, or light exercise to maintain mental and physical health."
4778,45836,Medical and Health Officer,Human Health & Social work activities,ARTEMIS HOSPITAL,Mauritius,31.08.2025,"As an RMO, you will play a crucial role in providing high-quality medical care to patients of Artemis Curepipe Hospital under the supervision of Senior Specialist Doctors and Medical Team."
4779,45835,Room Attendant,Human Health & Social work activities,ARTEMIS HOSPITAL,Mauritius,31.08.2025,"The Room Service Attendant is responsible for the food and beverage services to patients in the wards as per the meal planning of the patients and to ensure all patients / visitors are served with great care and passion as well as to achieve customer (patients, visitors) satisfaction and adhere to a high standard of service."
4780,45834,"Cook / Chef, General",Private Household,DUCASSE JEAN PIERRE CLENCY,Mauritius,25.08.2025,"-Prepare meals in private homes according to employers’ recipes or tastes, handling all meals for the family-Stock, organize, and clean kitchens and cooking utensils-Peel, wash, trim, and cook vegetables and meats, and bake breads and pastries-Plan menus according to employers’ needs"
4781,45833,Cashier,Trade,SOMAGS LTEE,Mauritius,15.09.2025,"Vous aimez le contact avec les clients, vous êtes rapide, organisé(e) et souriant(e) ? Ce poste est fait pour vous ! Rejoignez une équipe dynamique et vivez une expérience enrichissante au cœur de la grande distribution."
4782,45832,"Lorry Driver, Heavy",Trade,AMRO CHEMICALS LTD 02,Mauritius,31.08.2025,• • Delivery of products from Head office to customers.• Maintain cleanliness of lorries• Prepare products ordered by customers for loading into delivery vehicles and for indoor sales.• Loading of delivery vehicles.Delivery of products from Head office to custo• Delivery of products from Head office to customers.• Maintain cleanliness of lorries• Prepare products ordered by customers for loading into delivery vehicles and for indoor sales.• Loading of delivery vehicles.mers.• Maintain cleanliness of lorries• Prepare products ordered by customers for loading into delivery vehicles and for indoor sales.• Loading of delivery vehicles.
4783,45831,Helper,Trade,AMRO CHEMICALS LTD 02,Mauritius,31.08.2025,o To effect safe handling and delivery of products sold by the companyo To keep general tidiness and cleanliness of stores and vehicleso To drive company vehicles as and when required
4784,45830,"Carer, Private Household","Aged, Disability and Social Care Services",MR JUGDUTH MUNGROO,Mauritius,27.08.2025,"To provide quality care and support to the patient in their own home, helping them maintain their independence, dignity, and well-being. This includes assisting with personal care, household tasks, mobility, and companionship."
4785,45829,Receptionist,Construction,WENSENG CONTRACTING CO LTD,Mauritius,25.11.2025,check in and check out of client
4786,45828,Accounts clerk,Construction,ABDOOLAH SOOBRATTEE & BROTHERS CO LTD,Mauritius,31.08.2025,"The Accounts Clerk will be responsible to assist the in various accounting and fiance tasks such as preparing P.O, invoicing, financial entries on system, reconciliations, filing, daily accounting records and other related duties. The person must be able to do muti-tasks, precise attention to details, planning skills and proactive.Send CV on info@asbconstruction.mu5255 8648"
