id,job_id,title,sector,employer,country,closing_date,summary
1,27011,Soudeur Assembleur,Trade,PHOENIX-GMI,Quebec-Canada,31.07.2025,"L’entreprise, originalement spécialisée dans la conception et la fabrication de véhicules de transport pour le domaine forestier, est désormais un leader au Québec dans les industries du châssis, du transport de marchandises lourdes, du transbordement des déchets et matières recyclables et de la ferraille.Les semi-remorques que l’entreprise fabrique se démarquent par leur robustesse, leur fiabilité et leur durabilité. L’entreprise a le souci d’adapter ses produits aux besoins de ses clients et puise dans ses racines pour toujours offrir la qualité qui a fait sa réputation.Aucun frais ou participation demandé.e aux candidats, l’employeur prend en charge :• les formalités d’immigration et stratégie à long terme• les frais de voyage• les services d’accompagnement à l’installation avec la recherche du logement, équipement, formalités administratives.• la préparation et suivi à l’intégration culturelle et professionnelle"
4,45273,Waiter/Waitress,Hotel,MARITIM RESORT & SPA MAURITIUS,Mauritius,31.07.2025,To deliver professional and friendly service to guests in all allocated outlets and during various catering functions.
7,45270,Trainee Engineer,Engineering Services,AXIS ENGINEERS LTD,Mauritius,31.07.2025,TRAINEE/JUNIOR MECHANICAL ENGINEER-Degree in Mechanical Engineering-Minimum 1-3 years experience-Well versed in AutoCAD-Valid driving license (Manual)
14,45263,"Driver, Truck/Goods Vehicle/Chauffeur Poid-Lourd",Trade,PERFECT LOGISTICS LTD,Mauritius,31.07.2025,LOOKING FOR DRIVERS-TRAILERS-HAMMER-LORRY 4T
23,45254,Waiter/Waitress,Restaurant,GREEN IS BETTER (MAURITIUS ) LTD,Mauritius,31.07.2025,Customer service
25,45252,Cashier,Restaurant,GREEN IS BETTER (MAURITIUS ) LTD,Mauritius,31.07.2025,Process customer transactions efficiently
26,45251,"Cook, General",Restaurant,GREEN IS BETTER (MAURITIUS ) LTD,Mauritius,31.07.2025,Responsible for preparing and cooking food according to recipe
42,45235,Bookbinder and Cutter (Hand),Manufacturing-Other,NORTH SIGNS LTD,Mauritius,31.07.2025,"Book Binder Key Responsibilities:• Prepare Materials:o Receive and review materials such as printed pages, covers, and endpapers.o Trim or cut materials to the required size and shape.o Ensure that all components (pages, covers, spine) are properly aligned and ready for binding.• Bind Books:o Operate various binding machineso Assemble book signatures (groupings of pages) and bind them together using appropriate techniqueso Apply covers to the bound pages and attach them securely to the spine.• Quality Control:o Inspect finished books for quality, ensuring they meet company standards for alignment, trimming, and durability.o Ensure that there are no defects, such as misprints, loose pages, or improper binding.o Perform necessary adjustments to binding machines to ensure precision.• Maintenance and Cleaning:o Maintain and clean binding equipment and machines to ensure they function properly.• Collaboration:o Work closely with other team members, including printers and quality control specialists, to ensure timely completion of orders.o Follow instructions from supervisors regarding production schedules and deadlines."
45,45232,Helper Machinist,Manufacturing-Textile & Wearing Apparel,ANSOOYA & CO LTD,Mauritius,19.07.2025,"We are looking for a motivated and hardworking Helper Machinist to support machinists in the operation, maintenance, and setup of machines. The role involves assisting with preparing materials, cleaning tools and work areas, loading/unloading parts, and ensuring smooth workflow in the machining or tailoring section. This position is ideal for someone willing to learn and grow in a technical environment."
46,45231,"Driver, Van, Light and Local Transport",Manufacturing-Textile & Wearing Apparel,ANSOOYA & CO LTD,Mauritius,12.07.2025,"We are seeking a reliable and experienced Driver to transport goods in a safe and timely manner. The Driver will be responsible for maintaining the vehicle in good condition, following all traffic laws, and ensuring all trips are completed efficiently. The ideal candidate should have a valid driver’s license, a clean driving record, and excellent knowledge of local routes."
53,45223,Waiter/Waitress,Restaurant,GREEN IS BETTER (MAURITIUS ) LTD,Mauritius,31.07.2025,Customer  service
54,45222,"Cook, General",Restaurant,GREEN IS BETTER (MAURITIUS ) LTD,Mauritius,31.07.2025,Prepares and cook food according to recipe
56,45220,"Cook, General",Management Consultancy Activities,GWENS PROPERTIES LTD,Mauritius,30.07.2025,"Recherche pour l’un de ses clients dans le Nord:Un commis de cuisineCompétences requises :Très bonne présentationExpérience au même poste obligatoireCapacité d’être indépendant et rapidePersonne responsable, ponctuelle et organiséeAvantages :Salaire de Rs 24,000 incluant prime de présenceTransport aller-retour prise en charge ou rembourséeHeures supplémentaires rémunérées et contrat en CDIDimanche payé selon la loi du travailHoraires :Du lundi au dimanche de 01h30 am à  8h30 am1  jour de congé par semaine  (selon planning)Merci de nous envoyer votre CV sur recrutement@gml-mu.com ou au 52557740/58402010 par WhatsApp en précisant bien quel est le poste qui vous intéresse."
57,45219,Bakery Operator,Management Consultancy Activities,GWENS PROPERTIES LTD,Mauritius,30.07.2025,"Recherche pour l’un de ses clients dans l’ouest:Un Commis boulangerCompétences requises :Très bonne présentationExpérience au même poste obligatoireCapacité d’être indépendant et rapideAvantages :Salaire de base Rs 24,000 incluant une prime de présenceTransport aller-retour pris en charge rembourséHeures supplémentaires rémunérées et contrat en CDIDimanche payé selon la loi du travailHoraires :Du lundi au dimanche de 1h00 am à 09h00 am1 jour off par semaineMerci de nous envoyer votre CV sur recrutement@gml-mu.com ou au 5255 7740 / 5840 2010 par WhatsApp en précisant bien quel est le poste qui vous intéresse"
58,45218,Bakery Operator,Management Consultancy Activities,GWENS PROPERTIES LTD,Mauritius,30.07.2025,"Recherche pour l’un de ses clients dans l’ouest:Un boulangerCompétences requises :Très bonne présentationExpérience au même poste obligatoireCapacité d’être indépendant et rapideAvantages :Salaire de base Rs 28,000 incluant une prime de présenceTransport aller-retour pris en charge rembourséHeures supplémentaires rémunérées et contrat en CDIDimanche payé selon la loi du travailHoraires :Du lundi au dimanche de 1h00 am à 09h00 am1 jour off par semaineMerci de nous envoyer votre CV sur recrutement@gml-mu.com ou au 5255 7740 / 5840 2010 par WhatsApp en précisant bien quel est le poste qui vous intéresse"
59,45217,Cashier,Restaurant,GREEN IS BETTER (MAURITIUS ) LTD,Mauritius,31.07.2025,Processing customer transactions and handling paymentHandling payment and customer service
60,45216,Administrative Officer,Management Consultancy Activities,ZENITH CONSULTANCY LTD,Mauritius,31.07.2025,Administrative Officers manage the daily tasks of a company or organization by providing administrative and clerical support
67,45207,Sales Assistant,Renewable Energy and Circular Economy,RENEWORLD LTD,Mauritius,27.07.2025,"As the Sales Coordinator, you will oversee the administrative tasks associated with client files. You will serve as a vital liaison between departments, ensuring the seamless transfer of information from the sales team to other teams. Additionally, you will support the teams by engaging with customers whenever necessary, fostering smooth and efficient communication."
